stockname,stockcode
泰嘉股份,sz002843
同兴达,sz002845
英联股份,sz002846
盐津铺子,sz002847
高斯贝尔,sz002848
威星智能,sz002849
科达利,sz002850
麦格米特,sz002851
道道全,sz002852
皮阿诺,sz002853
捷荣技术,sz002855
美芝股份,sz002856
三晖电气,sz002857
力盛赛车,sz002858
洁美科技,sz002859
特锐德,sz300001
神州泰岳,sz300002
乐普医疗,sz300003
南风股份,sz300004
探路者,sz300005
莱美药业,sz300006
汉威电子,sz300007
天海防务,sz300008
安科生物,sz300009
立思辰,sz300010
鼎汉技术,sz300011
华测检测,sz300012
新宁物流,sz300013
亿纬锂能,sz300014
爱尔眼科,sz300015
北陆药业,sz300016
网宿科技,sz300017
中元股份,sz300018
硅宝科技,sz300019
银江股份,sz300020
大禹节水,sz300021
吉峰农机,sz300022
宝德股份,sz300023
机器人,sz300024
华星创业,sz300025
红日药业,sz300026
华谊兄弟,sz300027
金亚科技,sz300028
天龙光电,sz300029
阳普医疗,sz300030
宝通科技,sz300031
金龙机电,sz300032
同花顺,sz300033
钢研高纳,sz300034
中科电气,sz300035
超图软件,sz300036
新宙邦,sz300037
梅泰诺,sz300038
上海凯宝,sz300039
九洲电气,sz300040
回天新材,sz300041
朗科科技,sz300042
星辉娱乐,sz300043
赛为智能,sz300044
华力创通,sz300045
台基股份,sz300046
天源迪科,sz300047
合康新能,sz300048
福瑞股份,sz300049
世纪鼎利,sz300050
三五互联,sz300051
中青宝,sz300052
欧比特,sz300053
鼎龙股份,sz300054
万邦达,sz300055
三维丝,sz300056
万顺股份,sz300057
蓝色光标,sz300058
东方财富,sz300059
康耐特,sz300061
中能电气,sz300062
天龙集团,sz300063
豫金刚石,sz300064
海兰信,sz300065
三川智慧,sz300066
安诺其,sz300067
南都电源,sz300068
金利华电,sz300069
碧水源,sz300070
华谊嘉信,sz300071
三聚环保,sz300072
当升科技,sz300073
华平股份,sz300074
数字政通,sz300075
GQY视讯,sz300076
国民技术,sz300077
思创医惠,sz300078
数码视讯,sz300079
易成新能,sz300080
恒信移动,sz300081
奥克股份,sz300082
劲胜精密,sz300083
海默科技,sz300084
银之杰,sz300085
康芝药业,sz300086
荃银高科,sz300087
长信科技,sz300088
文化长城,sz300089
盛运环保,sz300090
金通灵,sz300091
科新机电,sz300092
金刚玻璃,sz300093
国联水产,sz300094
华伍股份,sz300095
易联众,sz300096
智云股份,sz300097
高新兴,sz300098
精准信息,sz300099
双林股份,sz300100
振芯科技,sz300101
乾照光电,sz300102
达刚路机,sz300103
乐视网,sz300104
龙源技术,sz300105
西部牧业,sz300106
建新股份,sz300107
双龙股份,sz300108
新开源,sz300109
华仁药业,sz300110
向日葵,sz300111
万讯自控,sz300112
顺网科技,sz300113
中航电测,sz300114
长盈精密,sz300115
坚瑞沃能,sz300116
嘉寓股份,sz300117
东方日升,sz300118
瑞普生物,sz300119
经纬电材,sz300120
阳谷华泰,sz300121
智飞生物,sz300122
太阳鸟,sz300123
汇川技术,sz300124
易世达,sz300125
锐奇股份,sz300126
银河磁体,sz300127
锦富技术,sz300128
泰胜风能,sz300129
新国都,sz300130
英唐智控,sz300131
青松股份,sz300132
华策影视,sz300133
大富科技,sz300134
宝利国际,sz300135
信维通信,sz300136
先河环保,sz300137
晨光生物,sz300138
晓程科技,sz300139
中环装备,sz300140
和顺电气,sz300141
沃森生物,sz300142
星河生物,sz300143
宋城演艺,sz300144
中金环境,sz300145
汤臣倍健,sz300146
香雪制药,sz300147
天舟文化,sz300148
量子高科,sz300149
世纪瑞尔,sz300150
昌红科技,sz300151
科融环境,sz300152
科泰电源,sz300153
瑞凌股份,sz300154
安居宝,sz300155
神雾环保,sz300156
恒泰艾普,sz300157
振东制药,sz300158
新研股份,sz300159
秀强股份,sz300160
华中数控,sz300161
雷曼股份,sz300162
先锋新材,sz300163
通源石油,sz300164
天瑞仪器,sz300165
东方国信,sz300166
迪威视讯,sz300167
万达信息,sz300168
天晟新材,sz300169
汉得信息,sz300170
东富龙,sz300171
中电环保,sz300172
智慧松德,sz300173
元力股份,sz300174
朗源股份,sz300175
鸿特精密,sz300176
中海达,sz300177
腾邦国际,sz300178
四方达,sz300179
华峰超纤,sz300180
佐力药业,sz300181
捷成股份,sz300182
东软载波,sz300183
力源信息,sz300184
通裕重工,sz300185
永清环保,sz300187
美亚柏科,sz300188
神农基因,sz300189
维尔利,sz300190
潜能恒信,sz300191
科斯伍德,sz300192
佳士科技,sz300193
福安药业,sz300194
长荣股份,sz300195
长海股份,sz300196
铁汉生态,sz300197
纳川股份,sz300198
翰宇药业,sz300199
高盟新材,sz300200
海伦哲,sz300201
聚龙股份,sz300202
聚光科技,sz300203
舒泰神,sz300204
天喻信息,sz300205
理邦仪器,sz300206
欣旺达,sz300207
恒顺众昇,sz300208
天泽信息,sz300209
森远股份,sz300210
亿通科技,sz300211
易华录,sz300212
佳讯飞鸿,sz300213
日科化学,sz300214
电科院,sz300215
千山药机,sz300216
东方电热,sz300217
安利股份,sz300218
鸿利智汇,sz300219
金运激光,sz300220
银禧科技,sz300221
科大智能,sz300222
北京君正,sz300223
正海磁材,sz300224
金力泰,sz300225
上海钢联,sz300226
光韵达,sz300227
富瑞特装,sz300228
拓尔思,sz300229
永利股份,sz300230
银信科技,sz300231
洲明科技,sz300232
金城医药,sz300233
开尔新材,sz300234
方直科技,sz300235
上海新阳,sz300236
美晨科技,sz300237
冠昊生物,sz300238
东宝生物,sz300239
飞力达,sz300240
瑞丰光电,sz300241
明家联合,sz300242
瑞丰高材,sz300243
迪安诊断,sz300244
天玑科技,sz300245
宝莱特,sz300246
乐金健康,sz300247
新开普,sz300248
依米康,sz300249
初灵信息,sz300250
光线传媒,sz300251
金信诺,sz300252
卫宁健康,sz300253
仟源医药,sz300254
常山药业,sz300255
星星科技,sz300256
开山股份,sz300257
精锻科技,sz300258
新天科技,sz300259
新莱应材,sz300260
雅本化学,sz300261
巴安水务,sz300262
隆华节能,sz300263
佳创视讯,sz300264
通光线缆,sz300265
兴源环境,sz300266
尔康制药,sz300267
万福生科,sz300268
联建光电,sz300269
中威电子,sz300270
华宇软件,sz300271
开能环保,sz300272
和佳股份,sz300273
阳光电源,sz300274
梅安森,sz300275
三丰智能,sz300276
海联讯,sz300277
华昌达,sz300278
和晶科技,sz300279
南通锻压,sz300280
金明精机,sz300281
汇冠股份,sz300282
温州宏丰,sz300283
苏交科,sz300284
国瓷材料,sz300285
安科瑞,sz300286
飞利信,sz300287
朗玛信息,sz300288
利德曼,sz300289
荣科科技,sz300290
华录百纳,sz300291
吴通控股,sz300292
蓝英装备,sz300293
博雅生物,sz300294
三六五网,sz300295
利亚德,sz300296
蓝盾股份,sz300297
三诺生物,sz300298
富春通信,sz300299
汉鼎宇佑,sz300300
长方集团,sz300301
同有科技,sz300302
聚飞光电,sz300303
云意电气,sz300304
裕兴股份,sz300305
远方光电,sz300306
慈星股份,sz300307
中际装备,sz300308
吉艾科技,sz300309
宜通世纪,sz300310
任子行,sz300311
邦讯技术,sz300312
天山生物,sz300313
戴维医疗,sz300314
掌趣科技,sz300315
晶盛机电,sz300316
珈伟股份,sz300317
博晖创新,sz300318
麦捷科技,sz300319
海达股份,sz300320
同大股份,sz300321
硕贝德,sz300322
华灿光电,sz300323
旋极信息,sz300324
德威新材,sz300325
凯利泰,sz300326
中颖电子,sz300327
宜安科技,sz300328
海伦钢琴,sz300329
华虹计通,sz300330
苏大维格,sz300331
天壕环境,sz300332
兆日科技,sz300333
津膜科技,sz300334
迪森股份,sz300335
新文化,sz300336
银邦股份,sz300337
开元仪器,sz300338
润和软件,sz300339
科恒股份,sz300340
麦迪电气,sz300341
天银机电,sz300342
联创互联,sz300343
太空板业,sz300344
红宇新材,sz300345
南大光电,sz300346
泰格医药,sz300347
长亮科技,sz300348
金卡智能,sz300349
华鹏飞,sz300350
永贵电器,sz300351
北信源,sz300352
东土科技,sz300353
东华测试,sz300354
蒙草生态,sz300355
光一科技,sz300356
我武生物,sz300357
楚天科技,sz300358
全通教育,sz300359
炬华科技,sz300360
天翔环境,sz300362
博腾股份,sz300363
中文在线,sz300364
恒华科技,sz300365
创意信息,sz300366
东方网力,sz300367
汇金股份,sz300368
绿盟科技,sz300369
安控科技,sz300370
汇中股份,sz300371
欣泰电气,sz300372
扬杰科技,sz300373
恒通科技,sz300374
鹏翎股份,sz300375
易事特,sz300376
赢时胜,sz300377
鼎捷软件,sz300378
东方通,sz300379
安硕信息,sz300380
溢多利,sz300381
斯莱克,sz300382
光环新网,sz300383
三联虹普,sz300384
雪浪环境,sz300385
飞天诚信,sz300386
富邦股份,sz300387
国祯环保,sz300388
艾比森,sz300389
天华超净,sz300390
康跃科技,sz300391
腾信股份,sz300392
中来股份,sz300393
天孚通信,sz300394
菲利华,sz300395
迪瑞医疗,sz300396
天和防务,sz300397
飞凯材料,sz300398
京天利,sz300399
劲拓股份,sz300400
花园生物,sz300401
宝色股份,sz300402
地尔汉宇,sz300403
博济医药,sz300404
科隆精化,sz300405
九强生物,sz300406
凯发电气,sz300407
三环集团,sz300408
道氏技术,sz300409
正业科技,sz300410
金盾股份,sz300411
迦南科技,sz300412
快乐购,sz300413
中光防雷,sz300414
伊之密,sz300415
苏试试验,sz300416
南华仪器,sz300417
昆仑万维,sz300418
浩丰科技,sz300419
五洋科技,sz300420
力星股份,sz300421
博世科,sz300422
鲁亿通,sz300423
航新科技,sz300424
环能科技,sz300425
唐德影视,sz300426
红相电力,sz300427
四通新材,sz300428
强力新材,sz300429
诚益通,sz300430
暴风集团,sz300431
富临精工,sz300432
蓝思科技,sz300433
金石东方,sz300434
中泰股份,sz300435
广生堂,sz300436
清水源,sz300437
鹏辉能源,sz300438
美康生物,sz300439
运达科技,sz300440
鲍斯股份,sz300441
普丽盛,sz300442
金雷风电,sz300443
双杰电气,sz300444
康斯特,sz300445
乐凯新材,sz300446
全信股份,sz300447
浩云科技,sz300448
汉邦高科,sz300449
先导智能,sz300450
创业软件,sz300451
山河药辅,sz300452
三鑫医疗,sz300453
康拓红外,sz300455
耐威科技,sz300456
赢合科技,sz300457
全志科技,sz300458
金科娱乐,sz300459
惠伦晶体,sz300460
田中精机,sz300461
华铭智能,sz300462
迈克生物,sz300463
星徽精密,sz300464
高伟达,sz300465
赛摩电气,sz300466
迅游科技,sz300467
四方精创,sz300468
信息发展,sz300469
日机密封,sz300470
厚普股份,sz300471
新元科技,sz300472
德尔股份,sz300473
景嘉微,sz300474
聚隆科技,sz300475
胜宏科技,sz300476
合纵科技,sz300477
杭州高新,sz300478
神思电子,sz300479
光力科技,sz300480
濮阳惠成,sz300481
万孚生物,sz300482
沃施股份,sz300483
蓝海华腾,sz300484
赛升药业,sz300485
东杰智能,sz300486
蓝晓科技,sz300487
恒锋工具,sz300488
中飞股份,sz300489
华自科技,sz300490
通合科技,sz300491
山鼎设计,sz300492
润欣科技,sz300493
盛天网络,sz300494
美尚生态,sz300495
中科创达,sz300496
富祥股份,sz300497
温氏股份,sz300498
高澜股份,sz300499
启迪设计,sz300500
海顺新材,sz300501
新易盛,sz300502
昊志机电,sz300503
川金诺,sz300505
名家汇,sz300506
苏奥传感,sz300507
维宏股份,sz300508
新美星,sz300509
金冠电气,sz300510
雪榕生物,sz300511
中亚股份,sz300512
恒泰实达,sz300513
三德科技,sz300515
久之洋,sz300516
海波重科,sz300517
盛讯达,sz300518
新光药业,sz300519
科大国创,sz300520
爱司凯,sz300521
世名科技,sz300522
辰安科技,sz300523
博思软件,sz300525
中潜股份,sz300526
华舟应急,sz300527
幸福蓝海,sz300528
健帆生物,sz300529
达志科技,sz300530
优博讯,sz300531
今天国际,sz300532
冰川网络,sz300533
陇神戎发,sz300534
达威股份,sz300535
农尚环境,sz300536
广信材料,sz300537
同益股份,sz300538
横河模具,sz300539
深冷股份,sz300540
先进数通,sz300541
新晨科技,sz300542
朗科智能,sz300543
联得装备,sz300545
雄帝科技,sz300546
川环科技,sz300547
博创科技,sz300548
优德精密,sz300549
和仁科技,sz300550
古鳌科技,sz300551
万集科技,sz300552
集智股份,sz300553
路通视信,sz300555
丝路视觉,sz300556
理工光科,sz300557
贝达药业,sz300558
佳发安泰,sz300559
中富通,sz300560
汇金科技,sz300561
乐心医疗,sz300562
神宇股份,sz300563
科信技术,sz300565
激智科技,sz300566
精测电子,sz300567
星源材质,sz300568
天能重工,sz300569
太辰光,sz300570
平治信息,sz300571
安车检测,sz300572
兴齐眼药,sz300573
中旗股份,sz300575
容大感光,sz300576
开润股份,sz300577
会畅通讯,sz300578
数字认证,sz300579
贝斯特,sz300580
晨曦航空,sz300581
英飞特,sz300582
赛托生物,sz300583
海辰药业,sz300584
奥联电子,sz300585
美联新材,sz300586
天铁股份,sz300587
熙菱信息,sz300588
江龙船艇,sz300589
移为通信,sz300590
万里马,sz300591
华凯创意,sz300592
新雷能,sz300593
欧普康视,sz300595
利安隆,sz300596
吉大通信,sz300597
诚迈科技,sz300598
雄塑科技,sz300599
瑞特股份,sz300600
康泰生物,sz300601
飞荣达,sz300602
立昂技术,sz300603
恒锋信息,sz300605
金太阳,sz300606
拓斯达,sz300607
思特奇,sz300608
汇纳科技,sz300609
晨化股份,sz300610
美力科技,sz300611
宣亚国际,sz300612
富瀚微,sz300613
欣天科技,sz300615
尚品宅配,sz300616
安靠智电,sz300617
寒锐钴业,sz300618
金银河,sz300619
光库科技,sz300620
维业股份,sz300621
博士眼镜,sz300622
捷捷微电,sz300623
三雄极光,sz300625
华瑞股份,sz300626
华测导航,sz300627
亿联网络,sz300628
新劲刚,sz300629
普利制药,sz300630
久吾高科,sz300631
光莆股份,sz300632
开立医疗,sz300633
达安股份,sz300635
同和药业,sz300636
