code,name
GOOG/SHA_600086,Eastern Gold Jade Co Ltd (600086)
GOOG/SHA_600088,"China Television Media, Ltd (600088)"
GOOG/SHA_600089,"TBEA Co., Ltd (600089)"
GOOG/SHA_600090,"Xin Jiang Hops Co., Ltd. (600090)"
GOOG/SHA_600091,"Baotou Tomorrow Technology Co., Ltd (600091)"
GOOG/SHA_600093,"Sichuan Hejia Co., Ltd (600093)"
GOOG/SHA_600094,Greattown Holdings Ltd (600094)
GOOG/SHA_600095,"Harbin High-Tech (Group) Co.,Ltd (600095)"
GOOG/SHA_600096,"Yunnan Yuntianhua Co., Ltd. (600096)"
GOOG/SHA_600097,Shanghai Kaichuang Marine Int'nl Co Ltd (600097)
GOOG/SHA_600098,Guangzhou Development Group Incorporated (600098)
GOOG/SHA_600099,"Linhai Co., Ltd. (600099)"
GOOG/SHA_600100,Tongfang Co Ltd (600100)
GOOG/SHA_600101,"Sichuan Mingxing Electric Power Co., Ltd (600101)"
GOOG/SHA_600103,"Fujian Qingshan Paper Industry Co., Ltd (600103)"
GOOG/SHA_600104,SAIC Motor Corporation Limited (600104)
GOOG/SHA_600105,Jiang Su Etern Co Ltd (600105)
GOOG/SHA_600106,"Chongqing Road &amp; Bridge Co., Ltd. (600106)"
GOOG/SHA_600107,"Hubei Mailyard Share Co., Ltd. (600107)"
GOOG/SHA_600108,Gansu Yasheng Industrial (Group) Co. Ltd (600108)
GOOG/SHA_600109,"Sinolink Securities Co., Ltd. (600109)"
GOOG/SHA_600110,"China-Kinwa High Technology Co., Ltd (600110)"
GOOG/SHA_600111,China Northern Rare Earth Gp H-T Co Ltd (600111)
GOOG/SHA_600112,Guizhou Changzheng Tiancheng Hldg Co Ltd (600112)
GOOG/SHA_600113,"Zhejiang Dongri Co., Ltd. (600113)"
GOOG/SHA_600114,NBTM New Materials Group Co Ltd (600114)
GOOG/SHA_600115,China Eastern Airlines Corporation Ltd. (600115)
GOOG/SHA_600116,Chongqing Three Gorges Water Conservancy (600116)
GOOG/SHA_600117,"Xining Special Steel Co.,Ltd (600117)"
GOOG/SHA_600118,"China Spacesat Co., Ltd. (600118)"
GOOG/SHA_600119,Y.U.D Yangtze River Investment Industry (600119)
GOOG/SHA_600120,"Zhejiang Orient Holdings Co., Ltd (600120)"
GOOG/SHA_600121,Zhengzhou Coal Industry &amp; Electric Power (600121)
GOOG/SHA_600122,"Jiangsu Hongtu High Technology Co., Ltd. (600122)"
GOOG/SHA_600123,Shanxi Lanhua Sci-Tech Venture Co Ltd (600123)
GOOG/SHA_600125,China Railway Tielong Container Log. Co. (600125)
GOOG/SHA_600126,"Hang Zhou Iron &amp; Steel Co., Ltd. (600126)"
GOOG/SHA_600127,"Hunan Jinjian Cereals Industry Co., Ltd. (600127)"
GOOG/SHA_600128,Jiangsu Holly Corporation (600128)
GOOG/SHA_600129,"Chongqing Taiji Industry(Group)Co., Ltd. (600129)"
GOOG/SHA_600130,"Ningbo Bird Co. , Ltd . (600130)"
GOOG/SHA_600131,"Sichuan Minjiang Hydropower Co., Ltd (600131)"
GOOG/SHA_600132,"Chongqing Brewery Co., Ltd (600132)"
GOOG/SHA_600133,Wuhan East Lake High Technology Group Co (600133)
GOOG/SHA_600135,"Luckyfilm Co., Ltd (600135)"
GOOG/SHA_600136,"Wuhan Double Co.,Ltd (600136)"
GOOG/SHA_600137,Sichuan Langsha Holding Ltd. (600137)
GOOG/SHA_600138,"China CYTS Tours Holding Co., Ltd (600138)"
GOOG/SHA_600139,Mianyang Gao Xin Industrial Dev (Group) (600139)
GOOG/SHA_600141,Hubei Xingfa Chemicals Group Co. Ltd (600141)
